ID,CPURL,RCPURL,SLURL
1,http://careerplus.shine.com/resume-writing/resume-for-freshers/pd1.html,/resume-writing/resume-for-freshers/pd1.html,https://learning.shine.com/services/resume-writing/entry-level-freshers-8/pd-1921
769,http://careerplus.shine.com/skill-courses/certified-open-source-cms-drupal-professional/pd769.html,/skill-courses/certified-open-source-cms-drupal-professional/pd769.html,https://learning.shine.com/course/it-information-technology/open-source-cms-drupal/pd-290
1793,http://careerplus.shine.com/skill-courses/certified-supply-chain-management-professional/pd1793.html,/skill-courses/certified-supply-chain-management-professional/pd1793.html,https://learning.shine.com/course/operation-management/supply-chain-management-3/pd-742
2049,http://careerplus.shine.com/skill-courses/train-the-trainer/pd2049.html,/skill-courses/train-the-trainer/pd2049.html,
4609,http://careerplus.shine.com/skill-courses/managing-projects-with-microsoft-project-2010-mc-2/pd4609.html,/skill-courses/managing-projects-with-microsoft-project-2010-mc-2/pd4609.html,
4865,http://careerplus.shine.com/skill-courses/big-data-the-corporate-leadership-perspective/pd4865.html,/skill-courses/big-data-the-corporate-leadership-perspective/pd4865.html,
2,http://careerplus.shine.com/resume-writing/resume-for-freshers/pd2.html,/resume-writing/resume-for-freshers/pd2.html,https://learning.shine.com/services/resume-writing/entry-level-freshers-7/pd-1922
3,http://careerplus.shine.com/resume-writing/resume-writing-mid-level-3/pd3.html,/resume-writing/resume-writing-mid-level-3/pd3.html,https://learning.shine.com/services/resume-writing/mid-level-experienced-professional-2/pd-1923
771,http://careerplus.shine.com/skill-courses/vskills-certified-software-testing-professional/pd771.html,/skill-courses/vskills-certified-software-testing-professional/pd771.html,https://learning.shine.com/course/it-information-technology/software-testing-professional/pd-291
2051,http://careerplus.shine.com/skill-courses/decision-making/pd2051.html,/skill-courses/decision-making/pd2051.html,
3075,http://careerplus.shine.com/skill-courses/lean-six-sigma-green-belt/pd3075.html,/skill-courses/lean-six-sigma-green-belt/pd3075.html,https://learning.shine.com/course/operation-management/lean-six-sigma-green-belt/pd-1238
3331,http://careerplus.shine.com/tssc/affiliation-fee/pd3331.html,/tssc/affiliation-fee/pd3331.html,
4611,http://careerplus.shine.com/skill-courses/oracle-plsql-developer-certified-associate-with-ge/pd4611.html,/skill-courses/oracle-plsql-developer-certified-associate-with-ge/pd4611.html,
4867,http://careerplus.shine.com/skill-courses/hadoop-operations/pd4867.html,/skill-courses/hadoop-operations/pd4867.html,https://learning.shine.com/course/it-information-technology/hadoop-operations/pd-1711
4,http://careerplus.shine.com/resume-writing/resume-writing-mid-level-3/pd4.html,/resume-writing/resume-writing-mid-level-3/pd4.html,https://learning.shine.com/services/resume-writing/mid-level-experienced-professional/pd-1924
5,http://careerplus.shine.com/resume-writing/resume-writing-senior-level-2/pd5.html,/resume-writing/resume-writing-senior-level-2/pd5.html,https://learning.shine.com/services/resume-writing/senior-level-experienced-professional/pd-32
773,http://careerplus.shine.com/skill-courses/vskills-certified-warehouse-manager/pd773.html,/skill-courses/vskills-certified-warehouse-manager/pd773.html,https://learning.shine.com/course/operation-management/warehouse-management/pd-2081
3077,http://careerplus.shine.com/skill-courses/lean-six-sigma-black-belt/pd3077.html,/skill-courses/lean-six-sigma-black-belt/pd3077.html,https://learning.shine.com/course/operation-management/lean-six-sigma-black-belt/pd-1239
4613,http://careerplus.shine.com/skill-courses/comptia-linux-with-getcertgo-certification/pd4613.html,/skill-courses/comptia-linux-with-getcertgo-certification/pd4613.html,
